date,News,source
2024-11-13,"[속보] 고려아연, 일반공모 유상증자 철회",한국경제
2024-11-13,"고려아연, 유상증자 자진 철회…""신뢰 회복 위한 최선의 방안""",이투데이
2024-11-13,코스피 하락률 상위 20종목(직전 30분 기준),인포스탁
2024-11-13,"[속보] 고려아연, 2.5조 유상증자 전격 철회",헤럴드경제
2024-11-13,"고려아연, 결국 유상증자 철회... 최윤범 입장 밝힐 듯",조선비즈
2024-11-13,"고려아연, 유상증자 없던 일로…""시장·주주 우려 겸허히 수용""",아시아경제
2024-11-13,"[속보] 고려아연, 일반공모 유상증자 철회",이투데이
2024-11-13,"[속보]고려아연, 유상증자 결정 철회",아시아경제
2024-11-13,고려아연(주) (정정)유상증자결정,거래소공시
2024-11-13,오전장 특징주★(코스피),인포스탁
2024-11-13,"[특징주]고려아연, 유상증자 철회 가능성에 '상승세'",아시아경제
2024-11-13,오전장 기술적 분석 특징주 A(코스피),인포스탁
2024-11-13,[연합뉴스 이 시각 헤드라인] - 10:30,연합뉴스
2024-11-13,"[특징주] 고려아연, 유상증자 철회 가능성에 다시 들썩",헤럴드경제
2024-11-13,높아진 변동성 속 개별 종목 장세 대비할 때...힌트는 실적과 트럼프 수혜주!,서울경제
2024-11-13,"[특징주] 고려아연, '유상증자 철회' 기대감에 4%대 강세",뉴스핌
2024-11-13,"고려아연, 유상증자 철회 전망에 3%대 강세…120만원 넘기도",매일경제
2024-11-13,"고려아연, 유상증자 철회 여부 오늘 발표…최윤범 회장 입장 밝힌다",아시아경제
2024-11-13,외국계 순매수 금액 상위 20선 - 코스피,조선비즈
2024-11-13,"최윤범 고려아연 회장, 오후 3시 기자회견…뉴스핌TV '스팟Live' 생중계",뉴스핌
2024-11-13,[데스크칼럼] MBK를 바라보는 엇갈린 시선,딜사이트
2024-11-13,"고려아연, 유상증자 사과…13일 오전 이사회 개최",뉴스핌
2024-11-13,코스피·코스닥 하락세 지속…삼성전자 또 52주 신저가,머니투데이
2024-11-13,"[특징주] 고려아연, 유상증자 철회 가능성에 5% 상승",연합뉴스
2024-11-13,"‘5.1만전자’까지 ‘뚝’…코스피, 장 초반 약보합 2450대로 후퇴(종합) [투자360]",헤럴드경제
2024-11-13,고려아연 최윤범 회장 오늘 기자회견…유상증자 철회할 듯,연합뉴스
2024-11-13,"[특징주]고려아연, 오늘 이사회…유증 철회 가능성 속 5% 강세",이데일리
2024-11-13,전일 3분기 실적 발표 주요 기업(2024.11.12 발표),인포스탁
2024-11-13,고려아연 '유증 철회' 가능성 내비쳐...오늘 이사회서 결정,파이낸셜뉴스
2024-11-13,"고려아연 경영권 분쟁 다시 '표 대결'로…""지분 확보보다 '실적·비전'에 승패 달렸다""",인포스탁
2024-11-12,"영풍, 고려아연 이그니오 인수 의혹 제기",딜사이트
2024-11-12,■■■[급등주]■■■[무료받기]■■■[클릭]■■■,인포스탁
2024-11-12,"고려아연 이그니오 인수 의혹 재점화... 영풍 ""논란 해명해야""",뉴스핌
2024-11-12,"트로이카 드라이브 전략 적중…고려아연, 3Q '100% 재활용 동' 매출 '전년比 37%↑'",인포스탁
2024-11-12,[오늘의 주요공시] 고려아연?이리츠코크렙?펄어비스 등,이투데이
2024-11-12,증시요약(8) - 기술적 분석 특징주 B(코스피),인포스탁
2024-11-12,증시요약(1) - 코스피 마감시황,인포스탁
2024-11-12,"[IR정보] 고려아연, 2024년 3분기 경영실적 발표",IR GO
2024-11-12,‘45.4 vs 39.5′ MBK와 격차 벌어진 최윤범… 국민연금·일반주주 설득이 관건,조선비즈
2024-11-12,"고려아연, 3분기 영업이익 1499억원...전년比 6.5% 감소",이데일리
2024-11-12,고려아연(주) [투자주의]투자경고종목 지정해제 및 재지정 예고,거래소공시
2024-11-12,"MBK, 가처분 심문기일에 고려아연 추가 매수...'사전공시제' 우회 지적",뉴스핌
2024-11-12,"영풍, '경영권 분쟁' 고려아연 지분 추가 취득에 3% 상승(종합)",연합뉴스
2024-11-12,"고려아연, 2분기 연속 매출 3조 돌파… 실적 개선 '가속도'",인포스탁
2024-11-12,"영풍 ""고려아연의 이그니오 매출 구조 의혹…실사 자료 공개해야""",아시아경제
2024-11-12,[마켓인]벌어진 고려아연 지분 격차…이제부턴 의결권 확보 경쟁,이데일리
2024-11-12,"고려아연, 임원ㆍ주요주주 특정증권등 소유주식수 변동",인포스탁
2024-11-12,"[원더 인터뷰] ①거버넌스포럼 ""삼성전자 밸류업 꼭 필요…주주들 고통 헤아려야""",인포스탁
2024-11-12,"고려아연, 임원ㆍ주요주주 특정증권등 소유주식수 변동",인포스탁
2024-11-12,"고려아연, 13일 이사회…유상증자 결정 철회 '가닥'",뉴스핌
2024-11-12,코스피 하락률 상위 20종목(직전 30분 기준),인포스탁
2024-11-12,"고려아연, 3분기 ‘친환경 동’ 매출 전년 대비 37% ‘껑충’",헤럴드경제
2024-11-12,"고려아연 ""조만간 유상증자 계획 다시 발표…시장 변화 충분히 예상 못해""",아시아경제
2024-11-12,2차 가처분 '심문기일'부터 고려아연 지분 대거 사들인 MBK…'사전공시제' 실효성 논란,인포스탁
2024-11-12,영업정지 2개월 석포제련소… 영풍이 고려아연 못 놓는 이유,조선비즈
2024-11-12,"고려아연 ""유상증자서 시장 변화 충분히 예상 못해"" 사과",파이낸셜뉴스
2024-11-12,고려아연 지분 추가 확대한 MBK… '사전공시제' 실효성 논란,인포스탁
2024-11-12,"고려아연, 3분기 ’친환경 동’ 매출 37%↑…""수요 예측· 및 선제적 대응 결과""",인포스탁
2024-11-12,"고려아연, 3Q '동' 매출 37%↑...최윤범 회장 '선제 대응' 통했다",뉴스핌
2024-11-12,오후장 기술적 분석 특징주 B(코스피),인포스탁
2024-11-12,"고려아연, 유상증자 철회 가닥… ""예정대로"" → ""플랜B 검토""",뉴스핌
2024-11-12,"고려아연, 금속가격·환율 하락에 수익 악화",딜사이트
2024-11-12,"고려아연, 3분기 영업이익 1499억… 전년比 6.5%↓",인포스탁
2024-11-12,"고려아연, 3Q 매출 전년比 40% 성장",인포스탁
2024-11-12,"<유>동일제강, 상한가 진입.. +29.98% ↑",서울경제
2024-11-12,오전장 기술적 분석 특징주 B(코스피),인포스탁
2024-11-12,"고려아연, 3분기 매출 전년보다 40% 급증",헤럴드경제
2024-11-12,"코스피, 장중 낙폭 줄여 2,510대…코스닥도 하락폭 축소",연합뉴스
2024-11-12,"고려아연, 3분기 매출 3조2000억···전년 대비 40% 증가",서울경제
2024-11-12,"[[ 11월 12일 ]] ""급등"" 예정인 종목 5개, 신청시 문자 즉시 발송!!",인포스탁
2024-11-12,"[오전 시황] 美 증시, 비트코인 다 오르는데···코스피, 장중 2500선 붕괴",서울경제
2024-11-12,"영풍, 고려아연 지분 추가 취득에 주가 강세…13% 급등 [투자360]",헤럴드경제
2024-11-12,오전장 기술적 분석 특징주 B(코스피),인포스탁
2024-11-12,"고려아연, 3분기 영업이익 1499억원…전년비 6.5% 감소",뉴스핌
2024-11-12,고려아연(010130) 소폭 상승세 +3.82%,인포스탁
2024-11-12,"고려아연, 3분기 영업익 1499억원…전년比 6.5%↓",인포스탁
2024-11-12,"[특징주] 영풍, 고려아연 지분 추가 취득에 13% 급등",연합뉴스
2024-11-12,고려아연 3분기 영업익 1499억···시설보수비 반영에도 선방,인포스탁
2024-11-12,"고려아연, 3분기 매출 전년 대비 40% 껑충…“장기적 성장성 입증”",헤럴드경제
2024-11-12,"고려아연, 3분기 영업익 6.5% 감소…""환율·시설보수 반영 탓""",머니투데이
2024-11-12,"MBK-영풍, 고려아연 지분 1.36% 늘렸다",딜사이트
2024-11-12,"고려아연, 3분기 영업익 1499억…전년비 6.5%↓ [주목 e공시]",한국경제
2024-11-12,"고려아연, 3분기 영업이익 1499억원…전년比 6.5% 감소",조선비즈
2024-11-12,경영권 분쟁' 고려아연 3분기 영업익 1천500억…작년보다 6.5%↓(종합),연합뉴스
2024-11-12,"성장성 입증 고려아연, 3분기 매출 3.2兆… 전년比 40% 증가",인포스탁
2024-11-12,고려아연 3분기 영업익 1499억원…전년비 6.5%↓,파이낸셜뉴스
2024-11-12,"고려아연, 3Q 영업익 1499억...전년비 6.5%↓ ""시설보수비 반영""",뉴스핌
2024-11-12,"고려아연, 3분기 영업이익 1499억 원…""4분기 실적 상승""",이투데이
2024-11-12,"고려아연, 3분기 영업익 1499억…전년비 6.5% 감소",이데일리
2024-11-12,"경영권 분쟁' 고려아연, 3분기 영업익 1499억…전년比 6.5%↓",아시아경제
2024-11-12,"코스피, 기관·외국인 매도에 하락 출발…2520선",이데일리
2024-11-12,"[[ 11월 12일 ]] ""급등"" 예정인 종목 5개, 신청시 문자 즉시 발송!!",인포스탁
2024-11-12,"[잠정실적]고려아연 3Q 실적, 매출액 3조2066억원 전년동기 대비 40% 증가... 영업이익 6.5% 감소 (연결)",뉴스핌
2024-11-12,"고려아연, 24년3분기 별도 영업이익 1,792.07억원",인포스탁
2024-11-12,"고려아연, 24년3분기 연결 영업이익 1,499.79억원, 컨센서스 추정치 하회",인포스탁
2024-11-12,고려아연(주) 영업(잠정)실적(공정공시),거래소공시
2024-11-12,고려아연(주) 연결재무제표기준영업(잠정)실적(공정공시),거래소공시
2024-11-12,적대적 M&A 후폭풍…'개척자' MBK에 가혹한 시선,딜사이트
2024-11-12,"MBK, 고려아연 지분 1.36% 추가 확보",인포스탁
2024-11-12,전일자 주요 지분 변동 공시,인포스탁
2024-11-12,당일 3분기 실적 발표 예정 주요 기업(11.12 발표 예정),인포스탁
2024-11-12,"[기업탐구] 50년 업력 이수페타시스, 비껴간 유상증자 공시…“밸류업 기업인데”",이투데이
2024-11-12,"밸류업 시대 '양날의 칼' 돼버린 사모펀드···""자본시장 발전 위해 기업성장 도와야""[시그널]",서울경제
2024-11-12,[코스피·코스닥 전 거래일(11일) 주요공시],연합뉴스
2024-11-12,문제는 자본효율성이지…ROE 아냐 밸류업지수·공시에 쓴소리,머니투데이
2024-11-11,투자 여력 40조···밸류업 '메기' 된 사모펀드[시그널],서울경제
2024-11-11,[마켓인]기타금융 사고 연기금은 팔고…고려아연 지분 지각변동 오나,이데일리
2024-11-11,"MBK, 장내서 고려아연 지분 1.36% 추가 취득…5%p 이상 격차(종합)",아시아경제
2024-11-11,"[[ 11월 12일 ]] ""급등"" 예정인 종목 5개, 신청시 문자 즉시 발송!!",인포스탁
2024-11-11,임시 주총 개최 시점 놓고도 치열한 수싸움… 최윤범 반격 카드 나올까,한국경제
2024-11-11,■■■[무료받기]■■■[폭등주]■■■[무료받기]■■■,인포스탁
2024-11-11,김소영 금융위 부위원장 “두산·고려아연 관련 대책 마련할 것”,헤럴드경제
2024-11-11,"MBK, 고려아연 지분 1.36% 추가 취득...MBK·영풍 총 39.83% 확보",뉴스핌
2024-11-11,"MBK, 장내서 고려아연 지분 1.36% 추가 취득…총 39.83% 확보(종합)",연합뉴스
2024-11-11,"김소영 ""한국 증시 소외?…내년 MSCI 편입 가능성 높아질 것""",연합뉴스
2024-11-11,"한국기업투자홀딩스, 고려아연 지분 1.36% 추가 취득…지분율 6.68% 확보",이투데이
2024-11-11,"[격랑의 고려아연] MBK, 고려아연 지분 1.36% 추가 취득",인포스탁
2024-11-11,▶▶ 쉿! 급등주 리스트 오늘부터 100% 무료 공개!,헤럴드경제
2024-11-11,"최윤범 회장 유증 뭇매 맞는 사이…MBK파트너스, 고려아연 지분율 강화",헤럴드경제
2024-11-11,"MBK-영풍, 고려아연 39.83%까지 늘려[fn마켓워치]",파이낸셜뉴스
2024-11-11,"고려아연, 주식등의 대량보유자 소유주식수 변동",인포스탁
2024-11-11,"MBK파트너스, 장내 매수로 고려아연 지분 1.36% 추가 취득",아시아경제
2024-11-11,"[속보] MBK, 고려아연 지분 1.36% 추가 확보",이데일리
2024-11-11,"MBK, 고려아연 지분 1.36% 추가 확보… 총 지분율 39.83%",인포스탁
2024-11-11,"MBK파트너스, 장내 매수로 고려아연 지분 1.36% 추가 취득",연합뉴스
2024-11-11,"고려아연, 주식등의 대량보유자 소유주식수 변동",인포스탁
2024-11-11,"[단독] MBK·영풍, 고려아연 지분율 39.83%까지 끌어올려",조선비즈
2024-11-11,"경제개혁연대, '석포제련소 오염' 영풍에 주주대표소송(종합)",연합뉴스
2024-11-11,목소리 커지는 '주주 충실의무' 상법개정…연말 최대 이슈로,머니투데이
2024-11-11,"조용한 우량주'가 '분쟁 테마주'로...고려아연, 단타 투자주의보",이데일리
2024-11-11,"한투자증권, 고려아연 지분 전량 매각 시끌...최윤범 우군 이탈?",뉴스핌
2024-11-11,"[IR일정] 고려아연, 2024년 3분기 경영실적 발표",IR GO
2024-11-11,"[격랑의 고려아연] 고려아연, 최윤범 회장 우군 이탈 가능성",인포스탁
2024-11-11,"유증이 악수였나…고려아연, 당국 압박에 백기사 이탈까지 '고심'",뉴스핌
2024-11-11,낙동강에 연간 카드뮴 폐수 8톤 배출 영풍 철퇴에…고려아연 분쟁 영향 주나,인포스탁
2024-11-11,고려아연(주) 기업설명회(IR) 개최(안내공시),거래소공시
2024-11-11,"[1111시황레이더] 고려아연, 한국투자증권, 동사 지분 전량 매각 소식에 하락",인포스탁
2024-11-11,영풍 석포제련소 조업정지 2개월…고려아연 분쟁 파장에 촉각,한국경제
2024-11-11,[특징주]고려아연 2거래일 연속 하락세↓,아시아경제
2024-11-11,"경제개혁연대, '석포제련소 오염' 영풍에 주주대표소송",연합뉴스
2024-11-11,"[Top's Law] [기업법칼럼] 일반공모증자, 적대적 M&A 방어수단 활용시 쟁점은",인포스탁
2024-11-11,코스피 상승률 상위 20종목(직전 30분 기준),인포스탁
2024-11-11,"[특징주]고려아연, 한투證 지분매각에 6%↓…장중 100만원 하회",이데일리
2024-11-11,"고려아연, ㈜한화 주식 헐값 매각 ""자충수 반복""",딜사이트
2024-11-11,코스피 하락률 상위 50종목,인포스탁
2024-11-11,폭탄 유증' 철회하는 최윤범 회장…'책임 떠넘기기' 논란 확산,한국경제
2024-11-11,"고려아연, 이르면 연내 임시주총…'폭탄 유증' 전략 무력화",한국경제
2024-11-11,"코스피, 외국인·기관 매도에 하락 출발…2540선",이데일리
2024-11-11,하락률 상위 50선 - 코스피,조선비즈
2024-11-11,고려아연(주) 주식선물 2단계 가격제한폭 확대요건 도달(하락),파생상품공시
2024-11-11,개장전★주요이슈 점검,인포스탁
2024-11-11,[IB토마토](사모펀드의 두 얼굴)①말로만 '기업 정상화'…MBK에 제기되는 의문,뉴스토마토
2024-11-10,"영풍, NH투자증권 통해 수상한 매수?…고려아연 시세조종 의혹 '스모킹건'되나",인포스탁
2024-11-10,"한국투자증권, 고려아연 지분 전량 매각…최윤범 우군 이탈?",뉴스핌
2024-11-10,"영풍, NH투자 통해 장내 매수?… 시세조종 의혹 진정서 제출",인포스탁
2024-11-09,"한투證, 고려아연 지분 전량 매각",파이낸셜뉴스
2024-11-09,▶▶클릭◀◀ 상위 1% 급등정보 무료공개!,인포스탁
